IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2016,TRUE,Residence Area Type,Rural,RUR,25.94,23.8,30.22,25.94 [23.8 – 30.22],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ARM,Armenia,Year,2016,TRUE,Residence Area Type,Rural,RUR,26.03,18.99,37.84,26.03 [18.99 – 37.84],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2016,TRUE,Residence Area Type,Total,TOTL,26.06,18.74,39.43,26.06 [18.74 – 39.43],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PER,Peru,Year,2016,TRUE,Residence Area Type,Rural,RUR,26.32,18.47,42.19,26.32 [18.47 – 42.19],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,CHL,Chile,Year,2016,TRUE,Residence Area Type,Urban,URB,26.34,23.93,27.58,26.34 [23.93 – 27.58],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2016,TRUE,Residence Area Type,Total,TOTL,26.41,24.42,29.07,26.41 [24.42 – 29.07],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SUR,Suriname,Year,2016,TRUE,Residence Area Type,Total,TOTL,26.48,11.51,59.31,26.48 [11.51 – 59.31],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2016,TRUE,Residence Area Type,Urban,URB,26.5,24.41,29.16,26.5 [24.41 – 29.16],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2016,TRUE,Residence Area Type,Total,TOTL,26.6,19.53,40.15,26.6 [19.53 – 40.15],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2016,TRUE,Residence Area Type,Total,TOTL,26.73,19.32,40.46,26.73 [19.32 – 40.46],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GUY,Guyana,Year,2016,TRUE,Residence Area Type,Urban,URB,26.77,10.81,66.42,26.77 [10.81 – 66.42],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GEO,Georgia,Year,2016,TRUE,Residence Area Type,Urban,URB,26.95,20.68,36.88,26.95 [20.68 – 36.88],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,TRUE,Residence Area Type,Urban,URB,27.21,17.26,46.9,27.21 [17.26 – 46.9],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2016,TRUE,Residence Area Type,Urban,URB,27.29,21.44,38.52,27.29 [21.44 – 38.52],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,KEN,Kenya,Year,2016,TRUE,Residence Area Type,Rural,RUR,27.45,19.45,41.37,27.45 [19.45 – 41.37],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2016,TRUE,Residence Area Type,Rural,RUR,27.51,19.79,41.14,27.51 [19.79 – 41.14],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,NAM,Namibia,Year,2016,TRUE,Residence Area Type,Rural,RUR,27.56,16.61,44.66,27.56 [16.61 – 44.66],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,TRUE,Residence Area Type,Urban,URB,27.66,16.55,45.86,27.66 [16.55 – 45.86],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,TRUE,Residence Area Type,Total,TOTL,27.67,17.9,43.35,27.67 [17.9 – 43.35],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,TRUE,Residence Area Type,Rural,RUR,27.67,18.11,42.85,27.67 [18.11 – 42.85],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2016,TRUE,Residence Area Type,Total,TOTL,28.14,24.77,30.89,28.14 [24.77 – 30.89],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2016,TRUE,Residence Area Type,Rural,RUR,28.19,22.42,37.59,28.19 [22.42 – 37.59],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,TRUE,Residence Area Type,Urban,URB,28.24,19.89,44.96,28.24 [19.89 – 44.96],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,TRUE,Residence Area Type,Total,TOTL,28.3,17.13,58.59,28.3 [17.13 – 58.59],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2016,TRUE,Residence Area Type,Rural,RUR,28.3,25.07,33.75,28.3 [25.07 – 33.75],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2016,TRUE,Residence Area Type,Total,TOTL,28.38,23.6,35.6,28.38 [23.6 – 35.6],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2016,TRUE,Residence Area Type,Urban,URB,28.57,24.58,34.9,28.57 [24.58 – 34.9],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SLV,El Salvador,Year,2016,TRUE,Residence Area Type,Rural,RUR,28.97,20.06,42.71,28.97 [20.06 – 42.71],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SLV,El Salvador,Year,2016,TRUE,Residence Area Type,Total,TOTL,29.14,19.73,43.58,29.14 [19.73 – 43.58],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SLV,El Salvador,Year,2016,TRUE,Residence Area Type,Urban,URB,29.28,19.43,43.54,29.28 [19.43 – 43.54],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ZMB,Zambia,Year,2016,TRUE,Residence Area Type,Urban,URB,29.42,16.1,50.07,29.42 [16.1 – 50.07],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,ZAF,South Africa,Year,2016,TRUE,Residence Area Type,Urban,URB,29.42,24.02,37.41,29.42 [24.02 – 37.41],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2016,TRUE,Residence Area Type,Total,TOTL,29.59,28.02,34.13,29.59 [28.02 – 34.13],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2016,TRUE,Residence Area Type,Rural,RUR,29.64,22.5,38.35,29.64 [22.5 – 38.35],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2016,TRUE,Residence Area Type,Total,TOTL,29.83,26.68,33.34,29.83 [26.68 – 33.34],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GTM,Guatemala,Year,2016,TRUE,Residence Area Type,Rural,RUR,30.17,21.98,41.39,30.17 [21.98 – 41.39],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,SUR,Suriname,Year,2016,TRUE,Residence Area Type,Urban,URB,30.2,12,64.7,30.2 [12 – 64.7],,,EN,2021-05-06T23:00:00.000Z
